customer_id	amount_requested	birth_date	status	residence_rent_or_own	monthly_rent_amount	bank_account_direct_deposit	application_when	loan_duration	payment_ach	num_payments	payment_amount	amount_approved	duration_approved	payment_amount_approved	address_zip	email	bank_routing_number	email_duration	residence_duration	bank_account_duration	payment_frequency	home_phone_type	other_phone_type	how_use_money	monthly_income_amount	raw_l2c_score	raw_FICO_telecom	raw_FICO_retail	raw_FICO_bank_card	raw_FICO_money
757f469cbe	500	9/30/1992	Approved	1	720	1	10/28/2010 18:50	4	1	17	51.17	500	4		84015	AracelySDavis@hotmail.com	324377613	1 year or more	6 months or less	6 months or less	Weekly	Mobile		Other	2400	523	501	501	501	501
ae03151fee	500	6/8/1980	Approved	1	190	1	10/30/2010 11:53	6	1	13	77.39	500	6		84321	ZacharySScott@hotmail.com	124002971	1 year or more	7-12 months	1-2 years	Bi-weekly	Mobile		Other	1200	712	585	663	711	603
4ad5645ab4	400	4/11/1985	Approved	1	0	0	10/31/2010 21:00	4	1	17	40.93	400	4		84070	BuddyFMulhall@hotmail.com	61120000	4-12 months	3+ years	6 months or less	Weekly	Mobile	Mobile	Other	1920	765	654	675	728	625
1d5ef602c4	250	10/5/1987	Approved	1	860	0	10/31/2010 21:43	4	1	8	54.24	250	4		84119	HelenPHarvey@gmail.com	21409169	1 year or more	1-2 years	6 months or less	Bi-weekly	Home		Other	1200	252	501	535	628	544
c4031886fc	400	6/6/1988	Approved	1	300	1	11/1/2010 9:59	6	1	12	67.22	400	6		84720	AndrewTRodriguez@hotmail.com	124002971	1 year or more	6 months or less	3+ years	Semi-monthly	Mobile		Other	1160	734	614	642	693	583
6a0eee2c2f	500	12/4/1981	Approved	1	750	1	11/1/2010 11:39	6	1	13	77.39	500	6		84010	HermaRJackson@hotmail.com	324377516	1 year or more	3+ years	3+ years	Bi-weekly	Mobile		Other	9000	537	592	644	667	630
a91c516d95	500	5/29/1982	Approved	1	650	1	11/1/2010 17:50	6	1	13	77.39	500	6		84124	PatriciaTJames@bing.com	31101169	1 year or more	6 months or less	6 months or less	Bi-weekly	Mobile		Other	600	645	501	501	649	557
f0ad440808	500	5/13/1973	Approved	1	635	1	11/1/2010 19:08	6	1	26	38.26	500	6		84501	TeresaJCayer@aol.com	124000054	1 year or more	3+ years	3+ years	Weekly	Mobile	Home	Other	3600	557	525	538	648	599
b4f2e3f3a3	800	12/7/1977	Approved	1	889	1	11/2/2010 20:17	6	1	12	84.03	500	6	73.34	84015	ScottJWest@yahoo.com	324377516	1 year or more	3+ years	3+ years	Semi-monthly	Mobile		Other	2580	602	559	606	652	606
f51a0a7f1e	300	3/31/1980	Approved	1	0	1	11/3/2010 8:03	6	1	13	46.43	300	6	40.54	84401	AnnJLuster@hotmail.com	124303065	1 year or more	3+ years	6 months or less	Bi-weekly	Mobile	Home	Other	429	616	501	555	622	587
16ae98338a	500	3/25/1981	Approved	1	650	1	11/3/2010 16:58	6	1	12	84.03	500	6	73.34	84103	RebeccaRDelacruz@hotmail.com	124002971	1 year or more	1-2 years	3+ years	Semi-monthly	Mobile		Other	4500	716	524	540	664	580
b65c5bf553	800	2/19/1980	Approved	1	700	1	11/4/2010 9:23	8	1	13	77.39	500	6	67.57	84123	RamonaWRoller@gmail.com	211382850	1 year or more	7-12 months	3+ years	Bi-weekly	Mobile	Work	Other	4200	530	573	600	596	600
2345f147a8	800	5/16/1976	Approved	0	0	1	11/4/2010 10:09	7	1	15	113.56	800	7	97.56	84088	JamesBOConnor@bing.com	122100024	1 year or more	1-2 years	3+ years	Bi-weekly	Mobile	Mobile	Other	1200	733	518	550	614	575
ae74ebdb3a	500	3/30/1959	Approved	1	1100	1	11/4/2010 10:24	5	1	5	193.91	500	5	171.47	84103	LynwoodRGreer@yahoo.com	324079474	1 year or more	1-2 years	3+ years	Monthly	Home	Mobile	Other	3007	771	570	560	680	611
e55a9a7293	700	3/17/1962	Approved	1	750	1	11/4/2010 22:34	5	1	10	129.04	700	5	115.62	84123	NancyHDougan@yahoo.com	324377516	4-12 months	3+ years	1-2 years	Bi-weekly	Mobile		Other	5260	645	556	556	669	604
790388f19a	500	3/6/1968	Approved	1	0	1	11/6/2010 0:32	5	1	10	94.7	500	5	84.18	84003	EmilyDMendoza@bing.com	124302150	1 year or more	7-12 months	6 months or less	Semi-monthly	Mobile		Other	2400	544	611	609	680	617
d8583e2e58	500	5/12/1975	Approved	1	0	1	11/6/2010 5:35	5	1	10	92.17	500	5	82.58	84095	DerrickALarson@yahoo.com	324379828	4-12 months	6 months or less	6 months or less	Bi-weekly	Mobile		Other	1200	638	534	549	618	560
161bfb5807	500	10/31/1974	Approved	1	89	1	11/6/2010 23:29	5	1	10	92.17	500	5	82.58	84067	BariJGreen@hotmail.com	124002971	1 year or more	7-12 months	3+ years	Bi-weekly	Mobile	Home	Other	1120	762	543	563	639	598
59c2cf163e	500	2/20/1947	Approved	1	800	1	11/8/2010 13:08	5	1	5	193.91	500	5	171.47	84120	JuneLEvans@bing.com	101089742	1 year or more	3+ years	3+ years	Monthly	Home	Mobile	Other	2100	661	535	576	676	593
7d724fba2a	500	11/9/1964	Approved	1	400	1	11/8/2010 13:28	5	1	5	193.91	500	5	171.47	84721	RebeccaFEvans@bing.com	114924742	1 year or more	1-2 years	3+ years	Monthly	Mobile		Other	1100	716	517	520	605	564
cc53bd5220	600	8/30/1967	Approved	1	220	1	11/10/2010 15:03	5	1	10	110.61	600	5	99.1	84532	JenniferLPhillips@hotmail.com	324377286	1 year or more	3+ years	3+ years	Bi-weekly	Home	Mobile	Other	4000	765	542	580	671	620
213c714e9f	300	5/26/1960	Approved	0	1143	1	11/10/2010 15:35	3	1	13	37.73	300	3	35.05	84655	SusanWCox@yahoo.com	124002971	1 year or more	3+ years	6 months or less	Weekly	Mobile	Home	Other	3652	586	580	569	680	627
cfe9e0dc5e	800	2/24/1961	Approved	0	891	1	11/10/2010 23:30	5	1	5	193.91	500	5	171.47	84062	LillianSBunger@hotmail.com	324377516	1 year or more	3+ years	3+ years	Monthly	Mobile	Mobile	Other	1500	600	622	659	698	656
f6bdc68cf8	500	7/22/1986	Approved	1	0	1	11/13/2010 13:36	5	1	10	92.17	500	5	82.58	84057	DennisJCallison@hotmail.com	51000017	1 year or more	1-2 years	6 months or less	Bi-weekly	Mobile	Mobile	Other	2400	541	531	547	680	582
38e888a4db	500	8/13/1979	Approved	1	129	1	11/13/2010 14:58	5	1	5	193.91	500	5	171.47	84088	ElijahDBayerl@hotmail.com	124002971	1 year or more	3+ years	3+ years	Monthly	Mobile		Other	1718	734	543	570	654	598
063080fb2b	700	2/20/1947	Approved	1	800	1	11/13/2010 20:32	5	1	5	193.91	500	5	171.47	84120	JanineRFairfield@aol.com	101089742	1 year or more	3+ years	3+ years	Monthly	Home	Mobile	Other	2100	661	535	576	676	593
096f7fdd06	600	11/4/1989	Approved	1	0	0	11/15/2010 16:00	8	1	12	84.03	500	6	73.34	84095	RubyWGaines@bing.com	122238585	1 year or more	1-2 years	6 months or less	Semi-monthly	Mobile		Other	960	642	502	503	648	534
c814f62edd	400	2/25/1981	Approved	1	400	1	11/15/2010 17:14	5	1	21	35.21	400	5	31.5	84118	HowardBMiller@aol.com	125000105	1 year or more	7-12 months	6 months or less	Weekly	Mobile	Home	Other	1400	581	507	535	614	586
3744b9845d	500	6/4/1960	Approved	0	1172	1	11/15/2010 17:14	5	1	5	109.18	500	5	109.18	84404	MargaretJTatum@yahoo.com	124002971	1 year or more	3+ years	1-2 years	Monthly	Home	Mobile	Other	4191	766	618	623	680	631
b86063bf54	500	3/14/1954	Approved	0	960	1	11/15/2010 18:47	5	1	5	193.91	500	5	171.47	84041	RobertNCorchado@gmail.com	324377613	1 year or more	3+ years	7-12 months	Monthly	Home		Other	3400	591	607	612	680	640
61ac7c10c7	500	11/30/1963	Approved	1	550	0	11/16/2010 15:34	5	1	10	92.17	500	5	82.58	84404	CharlotteLYbarra@bing.com	31101169	1 year or more	3+ years	1-2 years	Bi-weekly	Mobile		Other	1200	765	533	542	654	560
2a2617c97d	500	11/30/1969	Approved	0	1100	1	11/16/2010 19:56	5	1	10	92.17	500	5	82.58	84040	MatthewNBergeron@aol.com	124001545	1 year or more	3+ years	3+ years	Bi-weekly	Mobile		Other	4000	765	624	659	700	641
d312d7c101	800	3/26/1978	Approved	1	200	1	11/17/2010 16:15	7	1	15	113.56	800	7	97.56	84098	JoseVWalker@gmail.com	124000737	1 year or more	3+ years	1-2 years	Bi-weekly	Mobile	Work	Other	3376	808	528	550	680	601
4ccdce892b	500	1/8/1980	Approved	1	871	1	11/18/2010 7:19	5	1	10	92.17	500	5	82.58	84096	ShirleyJCheatham@bing.com	324079555	1 year or more	6 months or less	1-2 years	Bi-weekly	Mobile		Other	2040	716	540	553	650	612
7709edf805	800	12/19/1990	Approved	1	0	1	11/18/2010 22:50	8	1	12	84.03	500	6	73.34	84037	MiltonFJohnson@gmail.com	324377516	1 year or more	3+ years	3+ years	Semi-monthly	Mobile		Other	2000	768	648	649	713	594
03bff4b96f	500	11/18/1968	Approved	1	700	1	11/19/2010 13:34	5	1	10	92.17	500	5	82.58	84721	MatthewAChristian@hotmail.com	324079555	1 year or more	6 months or less	6 months or less	Bi-weekly	Mobile		Other	1600	544	574	584	671	612
2061a0ba7e	300	12/12/1961	Approved	0	1100	1	11/19/2010 18:18	5	1	10	56.82	300	5	50.51	84115	EboniWHeenan@bing.com	324377516	1 year or more	3+ years	3+ years	Semi-monthly	Mobile		Other	3990	601	630	657	705	651
b158a1fb49	500	10/14/1970	Approved	0	0	1	11/21/2010 4:22	5	1	21	44.01	500	5	39.37	84655	DorothyJHeideman@gmail.com	31100209	1 year or more	6 months or less	6 months or less	Weekly	Mobile		Other	1200	716	514	532	647	566
3dab7661bc	800	5/13/1973	Approved	1	635	1	11/21/2010 15:24	6	1	26	61.22	800	6	53.58	84501	DavidLGriffith@bing.com	124000054	1 year or more	3+ years	3+ years	Weekly	Mobile		Other	3000	719	525	538	648	599
84e158c07c	500	3/6/1968	Approved	1	0	1	11/21/2010 23:54	5	1	5	193.91	500	5	171.47	84003	RobinCMansfield@bing.com	124302150	1 year or more	7-12 months	7-12 months	Monthly	Mobile		Other	1700	544	611	609	680	617
b3f8618085	500	10/12/1956	Approved	1	180	1	11/22/2010 0:05	5	1	10	92.17	500	5	82.58	84302	YanAMay@gmail.com	124002971	1 year or more	3+ years	6 months or less	Bi-weekly	Mobile		Other	1952	550	572	599	648	607
de3f3759c5	500	9/6/1966	Approved	0	1508	1	11/22/2010 6:55	5	1	10	92.17	500	5	82.58	84093	CraigAVega@hotmail.com	324377613	1 year or more	3+ years	3+ years	Bi-weekly	Mobile		Other	5600	603	564	564	680	618
a58918ea5f	500	7/6/1958	Approved	0	0	1	11/22/2010 7:44	6	1	26	38.26	500	6	33.49	84092	IreneDLicon@gmail.com	324377516	1 year or more	3+ years	3+ years	Weekly	Mobile		Other	2000	638	558	605	680	617
438f15880d	500	9/17/1970	Approved	0	0	1	11/22/2010 8:58	6	1	13	77.39	500	6	67.57	84093	DorisTKaplan@aol.com	124000737	1 year or more	3+ years	6 months or less	Bi-weekly	Home	Mobile	Other	3000	612	527	515	656	583
6b0eb405a9	800	1/12/1950	Approved	0	0	1	11/22/2010 8:59	8	1	13	77.39	500	6	67.57	84014	RobertRWard@hotmail.com	324078899	1 year or more	3+ years	3+ years	Bi-weekly	Mobile		Other	1934	547	565	597	680	596
2bb71af254	800	6/20/1961	Approved	1	450	1	11/22/2010 22:01	8	1	12	84.03	500	6	73.34	84115	EmilyCRoberts@bing.com	324377202	3 months or less	3+ years	3+ years	Semi-monthly	Home	Mobile	Other	1600	713	532	598	580	589
a5dc7f28a0	800	12/19/1952	Approved	1	715	1	11/23/2010 4:52	6	1	6	171.75	500	6	149.24	84047	AmyTBush@bing.com	324079555	1 year or more	3+ years	3+ years	Monthly	Mobile		Other	2044	621	501	501	597	580
69ab210ca1	500	9/4/1958	Approved	1	1065	1	11/23/2010 15:19	5	1	10	92.17	500	5	82.58	84088	BettyRPeterson@aol.com	324377516	1 year or more	3+ years	6 months or less	Bi-weekly	Mobile		Other	3066	589	535	535	648	604
eeec4eb4da	500	7/12/1977	Approved	1	150	1	11/24/2010 16:16	5	1	5	193.91	500	5	171.47	84128	LindaAPerry@hotmail.com	124001545	1 year or more	1-2 years	6 months or less	Monthly	Mobile	Home	Other	2351	763	526	544	660	561
651bfa844b	800	10/8/1989	Approved	1	625	1	11/24/2010 21:16	8	1	13	77.39	500	6	67.57	84105	MildredBThomas@hotmail.com	324377516	1 year or more	7-12 months	3+ years	Bi-weekly	Mobile		Other	1400	716	501	536	618	543
670150fcc4	500	11/16/1957	Approved	1	0	0	11/26/2010 7:25	5	1	10	92.17	500	5	82.58	84096	WilliamWPonce@yahoo.com	124302150	1 year or more	3+ years	6 months or less	Bi-weekly	Mobile	Work	Other	900	541	535	579	680	608
6856486a4f	800	2/19/1971	Approved	1	400	0	11/26/2010 9:39	5	1	21	44.01	500	5	39.37	84526	NickJJackson@gmail.com	124000737	4-12 months	3+ years	6 months or less	Weekly	Mobile		Other	2000	745	501	548	644	558
5974458fa5	800	11/2/1967	Approved	1	400	1	11/27/2010 6:20	5	1	21	44.01	500	5	39.37	84096	ChrisCHaggins@bing.com	324377516	1 year or more	6 months or less	3+ years	Weekly	Mobile		Other	2240	544	586	596	664	592
4ffa8ffab7	500	9/3/1968	Approved	1	750	1	11/27/2010 22:19	5	1	21	44.01	500	5	39.37	84120	EdaJRawlins@yahoo.com	124002971	1 year or more	7-12 months	1-2 years	Weekly	Mobile		Other	4000	716	507	520	660	557
32afdd828f	500	8/3/1978	Approved	1	650	0	11/29/2010 4:42	5	1	10	92.17	500	5	82.58	84104	ClaudiaDSykes@yahoo.com	73972181	1 year or more	3+ years	6 months or less	Bi-weekly	Mobile		Other	1400	763	522	535	647	576
39e522717c	400	1/8/1979	Approved	1	0	1	11/29/2010 8:17	8	1	13	61.91	400	6	54.06	84067	GregorySStewart@yahoo.com	124002971	1 year or more	3+ years	3+ years	Bi-weekly	Mobile		Other	1200	546	559	616	643	601
8786986d4c	800	8/13/1983	Approved	1	700	0	11/29/2010 11:22	3	1	6	221.57	800	3	204.9	84020	NannieLBoice@yahoo.com	124000054	1 year or more	3+ years	1-2 years	Semi-monthly	Mobile		Other	2700	660	549	565	663	585
831b70959f	700	12/12/1984	Approved	0	1500	1	11/30/2010 10:27	5	1	21	44.01	500	5	39.37	84110	ChristopherNSpikes@bing.com	123545978	1 year or more	3+ years	6 months or less	Weekly	Mobile		Other	2400	50	222	222	222	222
90901a8096	800	4/6/1967	Approved	1	530	1	11/30/2010 14:33	3	1	3	284.69	500	3	261.37	84128	MaryWCook@hotmail.com	324377516	4-12 months	6 months or less	6 months or less	Monthly	Mobile		Other	900	732	516	557	656	583
831105c88c	500	10/9/1978	Approved	1	475	0	11/30/2010 22:05	5	1	21	44.01	500	5	39.37	84118	RichardJSavage@bing.com	122238585	1 year or more	3+ years	7-12 months	Weekly	Home	Mobile	Other	2400	541	510	539	630	589
b428a201ef	300	9/19/1957	Approved	0	600	1	12/1/2010 9:33	5	1	10	55.3	300	5	49.55	84066	LindaRRodriguez@yahoo.com	324379705	1 year or more	3+ years	1-2 years	Bi-weekly	Mobile		Other	1400	574	560	581	680	616
35f2509873	800	5/13/1954	Approved	1	600	1	12/2/2010 8:20	6	1	13	77.39	500	6	67.57	84660	MaryCForster@yahoo.com	324379763	1 year or more	3+ years	3+ years	Bi-weekly	Mobile	Work	Other	2042	544	618	657	708	639
669311c476	500	5/21/1981	Approved	0	0	1	12/3/2010 17:10	5	1	10	92.17	500	5	82.58	84120	LarryKBarnes@bing.com	124001545	4-12 months	3+ years	6 months or less	Bi-weekly	Mobile	Home	Other	3152	577	501	525	632	564
a229b97fcc	800	1/1/1981	Approved	1	200	1	12/4/2010 13:47	6	1	12	134.45	800	6	117.34	84088	EulaHMoeller@yahoo.com	324377202	1 year or more	3+ years	3+ years	Semi-monthly	Mobile		Other	2200	734	544	556	680	589
a7e545c03d	500	8/10/1966	Approved	1	400	1	12/4/2010 19:18	5	1	10	92.17	500	5	82.58	84084	DennisABell@gmail.com	124002971	1 year or more	6 months or less	3+ years	Bi-weekly	Mobile		Other	1600	716	546	540	657	590
ce9b5c8623	700	6/15/1968	Approved	1	635	1	12/6/2010 18:51	8	1	17	92.64	700	8	78.37	84120	EvaGWilson@yahoo.com	124000054	1 year or more	7-12 months	3+ years	Bi-weekly	Mobile		Other	1514	713	522	548	622	607
3c3a9ad8e8	800	4/2/1982	Approved	0	0	0	12/7/2010 10:54	6	1	13	123.82	800	6	108.12	84501	AliceCBateman@hotmail.com	324079539	1 year or more	3+ years	3+ years	Bi-weekly	Mobile		Other	1100	719	621	692	731	618
021b03f1b5	500	8/12/1973	Approved	1	1250	1	12/8/2010 18:56	5	1	21	44.01	500	5	39.37	84606	JoanDBaze@hotmail.com	324079500	1 year or more	1-2 years	1-2 years	Weekly	Home	Mobile	Other	6000	663	618	682	703	630
7a8b40eb75	500	12/30/1972	Approved	0	450	1	12/9/2010 9:42	5	1	10	94.7	500	5	84.18	84118	EugeniaDSmith@aol.com	124002971	1 year or more	3+ years	1-2 years	Semi-monthly	Mobile		Other	2200	661	547	580	676	612
07e2ff471b	700	6/4/1981	Approved	1	300	1	12/9/2010 9:55	8	1	34	45.86	700	8	38.86	84044	KimTWoodall@aol.com	324377202	1 year or more	1-2 years	1-2 years	Weekly	Mobile	Work	Other	1550	733	557	587	656	604
b4c59c7612	500	11/12/1974	Approved	1	600	1	12/9/2010 13:06	5	1	10	92.17	500	5	82.58	84015	BryceEChurchill@yahoo.com	324377516	1 year or more	1-2 years	7-12 months	Bi-weekly	Mobile	Work	Other	2460	530	599	644	673	627
e13fec332e	800	9/11/1970	Approved	0	1000	1	12/10/2010 22:08	8	1	13	77.39	500	6	67.57	84067	MarionJHarris@yahoo.com	124001545	1 year or more	3+ years	7-12 months	Bi-weekly	Mobile	Home	Other	2200	612	679	718	756	618
5d30f10075	800	4/29/1966	Approved	0	1050	1	12/11/2010 11:31	8	1	16	113.77	800	8	95.96	84067	JoniKSalter@hotmail.com	324377516	1 year or more	3+ years	3+ years	Semi-monthly	Mobile		Other	4800	765	614	655	684	627
3b7cef3bf7	300	9/21/1984	Approved	1	500	0	12/12/2010 10:31	8	1	12	50.42	300	6	44	84119	EugeneNHartmann@yahoo.com	124001545	1 year or more	1-2 years	1-2 years	Semi-monthly	Mobile	Home	Other	2200	759	531	579	608	559
68283e555e	800	4/1/1984	Approved	1	200	1	12/11/2010 12:29	8	1	13	77.39	500	6	67.57	84044	LouiseWCrouse@yahoo.com	324377516	1 year or more	1-2 years	7-12 months	Bi-weekly	Home		Other	1800	559	550	635	631	592
88bc9b54ef	500	3/17/1971	Approved	0	250	1	12/11/2010 13:46	5	1	5	193.91	500	5	171.47	84404	DebraHSparks@gmail.com	73972181	1 year or more	3+ years	7-12 months	Monthly	Home	Mobile	Other	2102	599	568	588	659	580
e1e9512a7a	600	8/17/1983	Approved	1	425	1	12/11/2010 13:58	5	1	10	92.17	500	5	82.58	84123	VickieMLewis@aol.com	324379828	1 year or more	6 months or less	3+ years	Bi-weekly	Mobile		Other	1800	734	515	501	632	567
8933adf997	800	2/13/1963	Approved	1	800	1	12/11/2010 23:31	4	1	17	81.87	800	4	74.6	84120	HaroldMOReilly@hotmail.com	324377516	1 year or more	3+ years	3+ years	Weekly	Mobile		Other	1980	582	561	599	680	633
c701d6ea24	500	8/9/1968	Approved	1	850	1	12/12/2010 14:49	5	1	10	92.17	500	5	82.58	84118	WillieMBrown@bing.com	124002971	1 year or more	3+ years	3+ years	Bi-weekly	Mobile	Work	Other	1900	639	534	607	608	558
d197fd3d12	500	3/23/1969	Approved	1	900	1	12/13/2010 7:21	5	1	10	92.17	500	5	82.58	84075	JanetCHarrell@gmail.com	124000737	1 year or more	3+ years	3+ years	Bi-weekly	Home		Other	3400	602	603	643	671	606
8be01a4e5b	500	7/10/1977	Approved	1	0	1	12/13/2010 12:47	5	1	21	44.01	500	5	39.37	84065	KevinKMiller@bing.com	122244171	1 year or more	1-2 years	6 months or less	Weekly	Mobile		Other	1200	664	509	517	564	588
5a7c6c7fd9	800	10/10/1970	Approved	0	1400	1	12/13/2010 14:54	5	1	10	147.47	800	5	132.13	84074	LawrenceCDonato@aol.com	324379828	1 year or more	3+ years	3+ years	Bi-weekly	Mobile		Other	3100	678	569	585	680	631
4801b08d2c	500	12/8/1971	Approved	0	676	1	12/14/2010 8:22	5	1	10	92.17	500	5	82.58	84414	DarleneTOrtega@yahoo.com	124001545	1 year or more	3+ years	6 months or less	Bi-weekly	Mobile		Other	2392	780	559	540	660	581
3e7ae01d2f	800	8/7/1964	Approved	0	1216	1	12/14/2010 12:06	5	1	5	193.91	500	5	171.47	84414	SuzyPPrice@aol.com	124000054	1 year or more	3+ years	3+ years	Monthly	Home	Mobile	Other	4703	542	603	590	680	637
43f95271b3	800	8/13/1972	Approved	1	500	1	12/14/2010 15:36	8	1	17	105.88	800	8	89.57	84117	JohnRTalbot@hotmail.com	324079555	1 year or more	3+ years	3+ years	Bi-weekly	Mobile		Other	3780	765	632	650	705	627
b3f9914dbb	600	2/26/1951	Approved	1	500	1	12/14/2010 19:41	8	1	13	77.39	500	6	67.57	84043	CurtisHWyatt@aol.com	124302150	1 year or more	6 months or less	3+ years	Bi-weekly	Mobile		Other	2400	660	581	591	680	617
eba05d27c7	800	6/28/1976	Approved	1	1000	1	12/14/2010 21:09	3	1	13	62.88	500	3	58.41	84321	MarilynGJesse@yahoo.com	124000737	1 year or more	1-2 years	1-2 years	Weekly	Mobile		Other	1880	521	586	636	678	609
418abe2912	500	12/9/1971	Approved	1	450	1	12/15/2010 12:36	8	1	12	84.03	500	6	73.34	84123	PokDBrock@aol.com	124000054	3 months or less	3+ years	3+ years	Semi-monthly	Mobile	Home	Other	2328	573	612	649	682	618
a2b8c6090c	500	8/15/1961	Approved	1	585	1	12/16/2010 8:28	5	1	21	44.01	500	5	39.37	84321	JanDThompson@hotmail.com	124000054	1 year or more	7-12 months	7-12 months	Weekly	Mobile		Other	2200	763	540	565	673	599
6c5242f2a5	800	12/31/1975	Approved	1	200	1	12/16/2010 12:43	8	1	12	84.03	500	6	73.34	84119	AmandaWStephens@gmail.com	124001545	1 year or more	3+ years	1-2 years	Semi-monthly	Mobile		Other	2550	663	508	501	641	583
d91d47325b	400	8/16/1954	Approved	1	400	1	12/16/2010 16:32	8	1	6	137.4	400	6	119.4	84003	RonaldAKnox@yahoo.com	124302150	1 year or more	3+ years	3+ years	Monthly	Mobile		Other	1912	593	601	640	645	614
8effed4b67	500	11/5/1958	Approved	0	1050	0	12/16/2010 19:09	5	1	10	92.17	500	5	82.58	84074	MaryBLangston@bing.com	124000737	1 year or more	3+ years	3+ years	Bi-weekly	Mobile	Home	Other	2720	567	546	555	680	594
d7001aa34e	300	5/14/1971	Approved	1	600	1	12/17/2010 5:02	5	1	10	55.3	300	5	49.55	84047	RogerMVermillion@bing.com	324377516	1 year or more	3+ years	3+ years	Bi-weekly	Mobile	Home	Other	1800	555	511	514	634	579
00413198e8	800	12/31/1953	Approved	0	490	0	12/17/2010 7:02	5	1	10	151.51	800	5	134.68	84401	BarbraDDufrene@yahoo.com	124000054	1 year or more	3+ years	3+ years	Semi-monthly	Mobile	Home	Other	3100	749	589	600	680	634
1c2a95e85b	500	1/13/1968	Approved	1	750	1	12/17/2010 7:05	5	1	10	92.17	500	5	82.58	84107	GeorgeannDPorter@aol.com	124302150	1 year or more	6 months or less	3+ years	Bi-weekly	Mobile		Other	960	754	529	519	649	595
8e65defaac	800	3/7/1968	Approved	0	734	1	12/17/2010 8:54	5	1	10	92.17	500	5	82.58	84120	DarlenePJohnson@bing.com	124002971	1 year or more	3+ years	6 months or less	Bi-weekly	Mobile		Other	2500	602	514	550	573	580
ae6db7c42b	800	5/3/1974	Approved	0	954	1	12/17/2010 10:34	8	1	8	231.76	800	8	194.94	84405	EthelKWilliams@aol.com	324377613	1 year or more	3+ years	3+ years	Monthly	Mobile		Other	3100	754	587	573	680	626
a67b508060	500	4/8/1983	Approved	1	0	0	12/17/2010 12:36	8	1	17	66.17	500	8	55.98	84081	VanessaLWhite@aol.com	324377516	1 year or more	1-2 years	3+ years	Bi-weekly	Mobile		Other	700	760	646	674	740	632
